Month,Category2,Sentence
200512,other,"lewis said, ""these things -- the beauty, the memory of our own past -- are good images of what we really desire; but if they are mistaken for the thing itself, they turn into dumb idols, breaking the hearts of their worshippers."
200512,movie/play/tv,"naomi watts takes the fay wray role as the beauty who becomes bait to capture a giant gorilla, which eventually goes ape in the big apple."
200512,other,illustration colour cover: kafka on the shore; colour cover: on beauty; colour cover: prep; colour cover: saturday; colour cover: veronica; colour cover: the assassin's gate: america in iraq; colour cover: the lost painting; colour cover: de kooning: an american master; colour cover: postwar: a history of europe since 1945; colour cover: the year of magical thinking.
200512,other,"the beauty is timeless, the energy and liveliness is contagious."
200512,physical beauty,she collected clothing that highlighted her beauty.
200512,movie/play/tv,"naomi watts takes the fay wray role as the beauty who becomes bait to capture a giant gorilla, which eventually goes ape in the big apple."
200512,other,"thankfully, though, one of the beauty parts of getting hammered is that the nagging guilt and anger tend to disappear after awhile."
200512,other,don't forget the work and the planning that goes along with all the beauty that we can enjoy.
200512,product/service,"celeste alles, owner of glow cosmetics kitchen in conestogo, said she makes up gift baskets for as low as $15, filled with her homemade bath and beauty products."
200512,product/service,"celeste alles, owner of glow cosmetics kitchen in conestogo, said she makes up gift baskets for as low as $15, filled with her homemade bath and beauty products."
200512,product/service,beauty shop 'a candy store for women'.
200512,movie/play/tv,beauty and the beast: any household with a gaggle of girls or a deluge of disney fans could do a lot worse than a new year's eve celebration with the arts club theatre's production of disney's beauty and the beast at the stanley industrial alliance stage.
200512,other,"anderson, who grew up in ladysmith, b.c., was reluctant because she'd never tried her hand at singing, but adams says the beauty of the song is that anybody can sing it."
200512,other,"anderson, who grew up in ladysmith, b.c., was reluctant because she'd never tried her hand at singing, but adams says the beauty of the song is that anybody can sing it."
200512,other,"anderson, who grew up in ladysmith, b.c., was reluctant because she'd never tried her hand at singing, but adams says the beauty of the song is that anybody can sing it."
200512,other,"anderson, who grew up in ladysmith, b.c., was reluctant because she'd never tried her hand at singing, but adams says the beauty of the song is that anybody can sing it."
200512,other,"anderson, who grew up in ladysmith, b.c., was reluctant because she'd never tried her hand at singing, but adams says the beauty of the song is that anybody can sing it."
200512,other,"anderson, who grew up in ladysmith, b.c., was reluctant because she'd never tried her hand at singing, but adams says the beauty of the song is that anybody can sing it."
200512,other,"anderson, who grew up in ladysmith, b.c., was reluctant because she'd never tried her hand at singing, but adams says the beauty of the song is that anybody can sing it."
200512,other,beauty of christmas tea and bazaar: 1-3 p.
